instance_id,n_points,instance_seed,algorithm,run_idx,run_seed,repeats_planned,distance_initial,distance_final,runtime_total_s,runtime_setup_s,runtime_solve_s,device,episodes,alpha,gamma,epsilon_init,n_chains,improvement_pct,gap_to_best_pct
n20_i2,20,20044,ml_gpu,0,50044,5,,5705.88525390625,0.8076459000003524,6.19000056758523e-05,0.8075839999946766,gpu,30.0,0.12,0.92,0.35,512.0,,35.61211329433978
n20_i2,20,20044,ml_gpu,1,50045,5,,5495.3203125,0.8171804999583401,3.969995304942131e-05,0.8171408000052907,gpu,30.0,0.12,0.92,0.35,512.0,,30.60760384153374
n20_i2,20,20044,ml_gpu,2,50046,5,,5780.00146484375,0.8042585999937728,6.459996802732348e-05,0.8041940000257455,gpu,30.0,0.12,0.92,0.35,512.0,,37.373637676156335
n20_i2,20,20044,ml_gpu,3,50047,5,,5285.83349609375,0.8120320999878459,6.0399994254112244e-05,0.8119716999935918,gpu,30.0,0.12,0.92,0.35,512.0,,25.628718249555497
n20_i2,20,20044,ml_gpu,4,50048,5,,5436.94677734375,0.8198062999872491,8.430000161752105e-05,0.8197219999856316,gpu,30.0,0.12,0.92,0.35,512.0,,29.2202365688426
n20_i3,20,20045,classic_cpu,0,20045,20,4812.1357421875,4318.284851074219,0.0006837000255472958,0.0,0.0006837000255472958,cpu,,,,,,10.262613475005313,4.754401235469429
n20_i3,20,20045,classic_cpu,1,20046,20,4248.203125,4175.770202636719,0.0004961999948136508,0.0,0.0004961999948136508,cpu,,,,,,1.705024930117513,1.2972331284048877
n20_i3,20,20045,classic_cpu,2,20047,20,4154.35546875,4154.35546875,0.00042050000047311187,0.0,0.00042050000047311187,cpu,,,,,,0.0,0.7777473364099251
n20_i3,20,20045,classic_cpu,3,20048,20,4656.74853515625,4154.355773925781,0.0005605000187642872,0.0,0.0005605000187642872,cpu,,,,,,10.788488092875124,0.7777547394663095
n20_i3,20,20045,classic_cpu,4,20049,20,4367.18017578125,4122.29443359375,0.0005356000037863851,0.0,0.0005356000037863851,cpu,,,,,,5.607411014217935,0.0
n20_i3,20,20045,classic_cpu,5,20050,20,4135.259765625,4135.259765625,0.0004070000140927732,0.0,0.0004070000140927732,cpu,,,,,,0.0,0.31451736988003137
n20_i3,20,20045,classic_cpu,6,20051,20,4465.4130859375,4465.4130859375,0.0005312999710440636,0.0,0.0005312999710440636,cpu,,,,,,0.0,8.32348726834208
n20_i3,20,20045,classic_cpu,7,20052,20,5296.4150390625,4327.2672119140625,0.0006521999603137374,0.0,0.0006521999603137374,cpu,,,,,,18.298185093137697,4.97229835525408
n20_i3,20,20045,classic_cpu,8,20053,20,4449.6826171875,4135.259216308594,0.0004317000275477767,0.0,0.0004317000275477767,cpu,,,,,,7.06619837703488,0.31450404437853946
n20_i3,20,20045,classic_cpu,9,20054,20,5371.78125,4327.266906738281,0.0006596000166609883,0.0,0.0006596000166609883,cpu,,,,,,19.444469062505455,4.972290952197695
n20_i3,20,20045,classic_cpu,10,20055,20,4839.931640625,4154.356140136719,0.00078369997208938,0.0,0.00078369997208938,cpu,,,,,,14.164983131864032,0.7777636231339707
n20_i3,20,20045,classic_cpu,11,20056,20,4696.4560546875,4446.380187988281,0.0005133000086061656,0.0,0.0005133000086061656,cpu,,,,,,5.324778168628232,7.861780850816095
n20_i3,20,20045,classic_cpu,12,20057,20,4473.1806640625,4465.4129638671875,0.00042290001874789596,0.0,0.00042290001874789596,cpu,,,,,,0.1736504911978661,8.323484307119525
n20_i3,20,20045,classic_cpu,13,20058,20,5374.92236328125,4154.3558349609375,0.0008589000208303332,0.0,0.0008589000208303332,cpu,,,,,,22.708542483489722,0.7777562200775864
n20_i3,20,20045,classic_cpu,14,20059,20,4868.7626953125,4627.873718261719,0.00046720000682398677,0.0,0.00046720000682398677,cpu,,,,,,4.9476425968080555,12.264511737634734
n20_i3,20,20045,classic_cpu,15,20060,20,4632.46484375,4237.1654052734375,0.0006473000394180417,0.0,0.0006473000394180417,cpu,,,,,,8.533242060323246,2.786578531207555
n20_i3,20,20045,classic_cpu,16,20061,20,4208.392578125,4135.259521484375,0.00042890000622719526,0.0,0.00042890000622719526,cpu,,,,,,1.7377907427355215,0.3145114474349239
n20_i3,20,20045,classic_cpu,17,20062,20,4594.60009765625,4241.05615234375,0.0006053999532014132,0.0,0.0006053999532014132,cpu,,,,,,7.6947707699925,2.8809615776635695
n20_i3,20,20045,classic_cpu,18,20063,20,4812.1357421875,4318.284851074219,0.0005910000181756914,0.0,0.0005910000181756914,cpu,,,,,,10.262613475005313,4.754401235469429
n20_i3,20,20045,classic_cpu,19,20064,20,4421.2548828125,4135.259094238281,0.0004529000143520534,0.0,0.0004529000143520534,cpu,,,,,,6.468656437022418,0.31450108315598574
n20_i3,20,20045,classic_gpu,0,30045,20,4812.1357421875,4241.0557861328125,0.011030299996491522,1.7900019884109497e-05,0.011012399976607412,gpu,,,,,,11.867494739354258,2.880952693995908
n20_i3,20,20045,classic_gpu,1,30046,20,4248.203125,4175.770202636719,0.009999500005505979,2.9699993319809437e-05,0.00996980001218617,gpu,,,,,,1.705024930117513,1.2972331284048877
n20_i3,20,20045,classic_gpu,2,30047,20,4154.35595703125,4154.35595703125,0.010370599979069084,2.95999925583601e-05,0.010340999986510724,gpu,,,,,,0.0,0.7777591813001402
n20_i3,20,20045,classic_gpu,3,30048,20,4656.74853515625,4135.259094238281,0.012637800013180822,3.1800009310245514e-05,0.012606000003870577,gpu,,,,,,11.198574219350046,0.31450108315598574
